Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
41,-10.1,77,1.77,0FF1BEB0E029E4200FE4C7701FD61BE0F02979E0,0FF1BEB0,E029E420,0FE4C770,1FD61BE0,F02979E0,267501232,3760841760,266651504,534125536,4029250016
42,-10.0,77,1.77,0FF1E6A0E029A7800FE4DC201FD65880F0293D40,0FF1E6A0,E029A780,0FE4DC20,1FD65880,F0293D40,267511456,3760826240,266656800,534141056,4029234496
43,-9.9,77,1.77,0FF20E70E0296B400FE4F0901FD694C0F02900F0,0FF20E70,E0296B40,0FE4F090,1FD694C0,F02900F0,267521648,3760810816,266662032,534156480,4029219056
44,-9.8,77,1.77,0FF23630E0292F400FE504D01FD6D0C0F028C500,0FF23630,E0292F40,0FE504D0,1FD6D0C0,F028C500,267531824,3760795456,266667216,534171840,4029203712
45,-9.7,77,1.77,0FF25DC0E028F3A00FE518D01FD70C60F0288960,0FF25DC0,E028F3A0,0FE518D0,1FD70C60,F0288960,267541952,3760780192,266672336,534187104,4029188448
46,-9.5,77,1.77,0FF2ACA0E0287D800FE540301FD78280F0281330,0FF2ACA0,E0287D80,0FE54030,1FD78280,F0281330,267562144,3760749952,266682416,534217344,4029158192
47,-9.4,77,1.77,0FF2D3F0E02842E00FE553801FD7BD20F027D890,0FF2D3F0,E02842E0,0FE55380,1FD7BD20,F027D890,267572208,3760734944,266687360,534232352,4029143184
48,-9.3,77,1.77,0FF2FB10E02808A00FE566A01FD7F760F0279E50,0FF2FB10,E02808A0,0FE566A0,1FD7F760,F0279E50,267582224,3760720032,266692256,534247264,4029128272
49,-9.2,77,1.77,0FF32220E027CEA00FE579801FD83160F0276460,0FF32220,E027CEA0,0FE57980,1FD83160,F0276460,267592224,3760705184,266697088,534262112,4029113440
50,-9.1,77,1.77,0FF34910E02795200FE58C301FD86AE0F0272AC0,0FF34910,E0279520,0FE58C30,1FD86AE0,F0272AC0,267602192,3760690464,266701872,534276832,4029098688
51,-9.0,77,1.77,0FF36FF0E0275BC00FE59EA01FD8A440F026F180,0FF36FF0,E0275BC0,0FE59EA0,1FD8A440,F026F180,267612144,3760675776,266706592,534291520,4029084032
