Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
91,-4.2,301,16.0,0FFD8AC0E0132B800FF5A2D01FECD480F00CD270,0FFD8AC0,E0132B80,0FF5A2D0,1FECD480,F00CD270,268274368,3759352704,267756240,535614592,4027372144
92,-4.1,301,16.0,0FFD9A00E01318C00FF5A6601FECE740F00CBFA0,0FFD9A00,E01318C0,0FF5A660,1FECE740,F00CBFA0,268278272,3759347904,267757152,535619392,4027367328
93,-4.0,301,16.0,0FFDA940E01306000FF5A9E01FECFA00F00CACE0,0FFDA940,E0130600,0FF5A9E0,1FECFA00,F00CACE0,268282176,3759343104,267758048,535624192,4027362528
94,-3.9,301,16.0,0FFDB870E012F3600FF5AD401FED0CA0F00C9A50,0FFDB870,E012F360,0FF5AD40,1FED0CA0,F00C9A50,268286064,3759338336,267758912,535628960,4027357776
95,-3.8,301,16.0,0FFDC7B0E012E1000FF5B0801FED1F00F00C87D0,0FFDC7B0,E012E100,0FF5B080,1FED1F00,F00C87D0,268289968,3759333632,267759744,535633664,4027353040
96,-3.7,301,16.0,0FFDD6D0E012CEA00FF5B3C01FED3160F00C7570,0FFDD6D0,E012CEA0,0FF5B3C0,1FED3160,F00C7570,268293840,3759328928,267760576,535638368,4027348336
97,-3.5,301,16.0,0FFDF520E012AA200FF5B9E01FED55E0F00C5100,0FFDF520,E012AA20,0FF5B9E0,1FED55E0,F00C5100,268301600,3759319584,267762144,535647712,4027339008
98,-3.4,301,16.0,0FFE0440E01298200FF5BCD01FED67E0F00C3EE0,0FFE0440,E0129820,0FF5BCD0,1FED67E0,F00C3EE0,268305472,3759314976,267762896,535652320,4027334368
99,-3.3,301,16.0,0FFE1360E01286200FF5BFB01FED79E0F00C2CF0,0FFE1360,E0128620,0FF5BFB0,1FED79E0,F00C2CF0,268309344,3759310368,267763632,535656928,4027329776
100,-3.2,301,16.0,0FFE2280E01274400FF5C2701FED8BC0F00C1B10,0FFE2280,E0127440,0FF5C270,1FED8BC0,F00C1B10,268313216,3759305792,267764336,535661504,4027325200
101,-3.1,301,16.0,0FFE3190E01262800FF5C5201FED9D80F00C0950,0FFE3190,E0126280,0FF5C520,1FED9D80,F00C0950,268317072,3759301248,267765024,535666048,4027320656
102,-3.0,301,16.0,0FFE40A0E01250E00FF5C7C01FEDAF20F00BF7A0,0FFE40A0,E01250E0,0FF5C7C0,1FEDAF20,F00BF7A0,268320928,3759296736,267765696,535670560,4027316128
103,-2.8,301,16.0,0FFE5EB0E0122DE00FF5CCB01FEDD220F00BD4A0,0FFE5EB0,E0122DE0,0FF5CCB0,1FEDD220,F00BD4A0,268328624,3759287776,267766960,535679520,4027307168
104,-2.7,301,16.0,0FFE6DC0E0121C800FF5CF001FEDE380F00BC340,0FFE6DC0,E0121C80,0FF5CF00,1FEDE380,F00BC340,268332480,3759283328,267767552,535683968,4027302720
105,-2.6,301,16.0,0FFE7CC0E0120B400FF5D1401FEDF4C0F00BB200,0FFE7CC0,E0120B40,0FF5D140,1FEDF4C0,F00BB200,268336320,3759278912,267768128,535688384,4027298304
106,-2.5,301,16.0,0FFE8BC0E011FA200FF5D3701FEE05E0F00BA0E0,0FFE8BC0,E011FA20,0FF5D370,1FEE05E0,F00BA0E0,268340160,3759274528,267768688,535692768,4027293920
107,-2.4,301,16.0,0FFE9AC0E011E9200FF5D5801FEE16E0F00B8FD0,0FFE9AC0,E011E920,0FF5D580,1FEE16E0,F00B8FD0,268344000,3759270176,267769216,535697120,4027289552
108,-2.2,301,16.0,0FFEB8A0E011C7400FF5D9601FEE38C0F00B6DF0,0FFEB8A0,E011C740,0FF5D960,1FEE38C0,F00B6DF0,268351648,3759261504,267770208,535705792,4027280880
109,-2.1,301,16.0,0FFEC7A0E011B6800FF5DB301FEE4980F00B5D30,0FFEC7A0,E011B680,0FF5DB30,1FEE4980,F00B5D30,268355488,3759257216,267770672,535710080,4027276592
110,-2.0,301,16.0,0FFED690E011A5E00FF5DCF01FEE5A20F00B4C80,0FFED690,E011A5E0,0FF5DCF0,1FEE5A20,F00B4C80,268359312,3759252960,267771120,535714336,4027272320
111,-1.9,301,16.0,0FFEE580E01195600FF5DEA01FEE6AA0F00B3BF0,0FFEE580,E0119560,0FF5DEA0,1FEE6AA0,F00B3BF0,268363136,3759248736,267771552,535718560,4027268080
112,-1.8,301,16.0,0FFEF460E01184E00FF5E0301FEE7B20F00B2B70,0FFEF460,E01184E0,0FF5E030,1FEE7B20,F00B2B70,268366944,3759244512,267771952,535722784,4027263856
113,-1.7,301,16.0,0FFF0350E01174800FF5E1A01FEE8B80F00B1B10,0FFF0350,E0117480,0FF5E1A0,1FEE8B80,F00B1B10,268370768,3759240320,267772320,535726976,4027259664
