Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
70,-15.0,42,0.2,0F95B410E102B1E00F67B8C01EFD4E20F1029330,0F95B410,E102B1E0,0F67B8C0,1EFD4E20,F1029330,261469200,3775050208,258455744,519917088,4043477808
71,-15.0,42,0.2,0F947A80E105AD800F65F7701EFA5280F1058E10,0F947A80,E105AD80,0F65F770,1EFA5280,F1058E10,261388928,3775245696,258340720,519721600,4043673104
72,-15.0,43,0.2,0F934120E108A8800F6436901EF75780F1088860,0F934120,E108A880,0F643690,1EF75780,F1088860,261308704,3775441024,258225808,519526272,4043868256
73,-15.0,43,0.2,0F924690E10B0A800F62CFA01EF4F580F10AE9D0,0F924690,E10B0A80,0F62CFA0,1EF4F580,F10AE9D0,261244560,3775597184,258133920,519370112,4044024272
74,-15.0,43,0.2,0F910DA0E10E04800F610F501EF1FB80F10DE310,0F910DA0,E10E0480,0F610F50,1EF1FB80,F10DE310,261164448,3775792256,258019152,519175040,4044219152
75,-15.0,44,0.2,0F901370E11065C00F5FA8E01EEF9A40F11043A0,0F901370,E11065C0,0F5FA8E0,1EEF9A40,F11043A0,261100400,3775948224,257927392,519019072,4044374944
76,-15.0,44,0.2,0F8EDAF0E1135EC00F5DE9301EECA140F1133BE0,0F8EDAF0,E1135EC0,0F5DE930,1EECA140,F1133BE0,261020400,3776143040,257812784,518824256,4044569568
77,-15.0,45,0.2,0F8DA2A0E11657200F5C29D01EE9A8E0F1163390,0F8DA2A0,E1165720,0F5C29D0,1EE9A8E0,F1163390,260940448,3776337696,257698256,518629600,4044764048
78,-15.0,45,0.2,0F8C6A90E1194F000F5A6AC01EE6B100F1192AA0,0F8C6A90,E1194F00,0F5A6AC0,1EE6B100,F1192AA0,260860560,3776532224,257583808,518435072,4044958368
79,-15.0,46,0.2,0F8B32C0E11C46600F58AC101EE3B9A0F11C2130,0F8B32C0,E11C4660,0F58AC10,1EE3B9A0,F11C2130,260780736,3776726624,257469456,518240672,4045152560
80,-15.0,46,0.2,0F89FB30E11F3D200F56EDB01EE0C2E0F11F1720,0F89FB30,E11F3D20,0F56EDB0,1EE0C2E0,F11F1720,260700976,3776920864,257355184,518046432,4045346592
81,-15.0,47,0.2,0F88C3D0E12233400F552FA01EDDCCC0F1220C90,0F88C3D0,E1223340,0F552FA0,1EDDCCC0,F1220C90,260621264,3777114944,257240992,517852352,4045540496
82,-15.0,47,0.2,0F878CB0E12529000F5371F01EDAD700F1250160,0F878CB0,E1252900,0F5371F0,1EDAD700,F1250160,260541616,3777308928,257126896,517658368,4045734240
83,-15.0,48,0.2,0F8655D0E1281E000F51B4901ED7E200F127F5A0,0F8655D0,E1281E00,0F51B490,1ED7E200,F127F5A0,260462032,3777502720,257012880,517464576,4045927840
84,-15.0,48,0.2,0F851F20E12B12800F4FF7801ED4ED80F12AE950,0F851F20,E12B1280,0F4FF780,1ED4ED80,F12AE950,260382496,3777696384,256898944,517270912,4046121296
85,-15.0,49,0.2,0F83E8C0E12E06800F4E3AD01ED1F980F12DDC70,0F83E8C0,E12E0680,0F4E3AD0,1ED1F980,F12DDC70,260303040,3777889920,256785104,517077376,4046314608
