Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
84,-15.0,48,1.01,0FE6D540E03D62E00FDBF2401FC29D20F03D3870,0FE6D540,E03D62E0,0FDBF240,1FC29D20,F03D3870,266786112,3762119392,266072640,532847904,4030543984
85,-15.0,49,1.01,0FE693C0E03E03200FDB94701FC1FCE0F03DD7D0,0FE693C0,E03E0320,0FDB9470,1FC1FCE0,F03DD7D0,266769344,3762160416,266048624,532806880,4030584784
86,-15.0,49,1.01,0FE64530E03EC3600FDB23D01FC13CA0F03E9700,0FE64530,E03EC360,0FDB23D0,1FC13CA0,F03E9700,266749232,3762209632,266019792,532757664,4030633728
87,-15.0,50,1.01,0FE603B0E03F63A00FDAC6001FC09C60F03F3650,0FE603B0,E03F63A0,0FDAC600,1FC09C60,F03F3650,266732464,3762250656,265995776,532716640,4030674512
88,-15.0,50,1.01,0FE5C230E04003C00FDA68301FBFFC40F03FD5A0,0FE5C230,E04003C0,0FDA6830,1FBFFC40,F03FD5A0,266715696,3762291648,265971760,532675648,4030715296
89,-15.0,51,1.01,0FE573A0E040C4000FD9F7A01FBF3C00F04094C0,0FE573A0,E040C400,0FD9F7A0,1FBF3C00,F04094C0,266695584,3762340864,265942944,532626432,4030764224
90,-15.0,52,1.01,0FE53230E04164200FD999E01FBE9BE0F04133F0,0FE53230,E0416420,0FD999E0,1FBE9BE0,F04133F0,266678832,3762381856,265918944,532585440,4030804976
91,-15.0,52,1.01,0FE4E3A0E04224400FD929601FBDDBC0F041F300,0FE4E3A0,E0422440,0FD92960,1FBDDBC0,F041F300,266658720,3762431040,265890144,532536256,4030853888
92,-15.0,53,1.01,0FE4A230E042C4600FD8CBA01FBD3BA0F0429230,0FE4A230,E042C460,0FD8CBA0,1FBD3BA0,F0429230,266641968,3762472032,265866144,532495264,4030894640
93,-15.0,53,1.01,0FE453B0E04384800FD85B201FBC7B80F0435130,0FE453B0,E0438480,0FD85B20,1FBC7B80,F0435130,266621872,3762521216,265837344,532446080,4030943536
94,-15.0,54,1.01,0FE40530E04444A00FD7EAB01FBBBB60F0441020,0FE40530,E04444A0,0FD7EAB0,1FBBBB60,F0441020,266601776,3762570400,265808560,532396896,4030992416
95,-15.0,54,1.01,0FE3B6B0E04504C00FD77A401FBAFB40F044CF00,0FE3B6B0,E04504C0,0FD77A40,1FBAFB40,F044CF00,266581680,3762619584,265779776,532347712,4031041280
96,-15.0,55,1.01,0FE36840E045C4C00FD709E01FBA3B40F0458DE0,0FE36840,E045C4C0,0FD709E0,1FBA3B40,F0458DE0,266561600,3762668736,265751008,532298560,4031090144
97,-15.0,56,1.01,0FE326E0E04664C00FD6AC301FB99B40F0462CF0,0FE326E0,E04664C0,0FD6AC30,1FB99B40,F0462CF0,266544864,3762709696,265727024,532257600,4031130864
98,-15.0,56,1.01,0FE2D870E04724C00FD63BD01FB8DB40F046EBC0,0FE2D870,E04724C0,0FD63BD0,1FB8DB40,F046EBC0,266524784,3762758848,265698256,532208448,4031179712
99,-15.0,57,1.01,0FE27CF0E04804C00FD5B8C01FB7FB40F047CA50,0FE27CF0,E04804C0,0FD5B8C0,1FB7FB40,F047CA50,266501360,3762816192,265664704,532151104,4031236688
100,-15.0,57,1.01,0FE22E80E048C4C00FD548701FB73B40F0488910,0FE22E80,E048C4C0,0FD54870,1FB73B40,F0488910,266481280,3762865344,265635952,532101952,4031285520
101,-15.0,58,1.01,0FE1E020E04984A00FD4D8201FB67B60F04947C0,0FE1E020,E04984A0,0FD4D820,1FB67B60,F04947C0,266461216,3762914464,265607200,532052832,4031334336
102,-15.0,59,1.01,0FE191C0E04A44A00FD467D01FB5BB60F04A0670,0FE191C0,E04A44A0,0FD467D0,1FB5BB60,F04A0670,266441152,3762963616,265578448,532003680,4031383152
103,-15.0,59,1.01,0FE14360E04B04800FD3F7901FB4FB80F04AC510,0FE14360,E04B0480,0FD3F790,1FB4FB80,F04AC510,266421088,3763012736,265549712,531954560,4031431952
104,-15.0,60,1.01,0FE0E800E04BE4600FD374A01FB41BA0F04BA360,0FE0E800,E04BE460,0FD374A0,1FB41BA0,F04BA360,266397696,3763070048,265516192,531897248,4031488864
105,-15.0,61,1.01,0FE099A0E04CA4200FD304601FB35BE0F04C61F0,0FE099A0,E04CA420,0FD30460,1FB35BE0,F04C61F0,266377632,3763119136,265487456,531848160,4031537648
106,-15.0,61,1.01,0FE03E40E04D84000FD281801FB27C00F04D4030,0FE03E40,E04D8400,0FD28180,1FB27C00,F04D4030,266354240,3763176448,265453952,531790848,4031594544
107,-15.0,62,1.01,0FDFF000E04E43C00FD211501FB1BC40F04DFEB0,0FDFF000,E04E43C0,0FD21150,1FB1BC40,F04DFEB0,266334208,3763225536,265425232,531741760,4031643312
108,-15.0,63,1.01,0FDF94A0E04F23800FD18E801FB0DC80F04EDCE0,0FDF94A0,E04F2380,0FD18E80,1FB0DC80,F04EDCE0,266310816,3763282816,265391744,531684480,4031700192
109,-15.0,63,1.01,0FDF3950E05003400FD10BB01FAFFCC0F04FBB00,0FDF3950,E0500340,0FD10BB0,1FAFFCC0,F04FBB00,266287440,3763340096,265358256,531627200,4031757056
110,-15.0,64,1.01,0FDEDE00E050E2E00FD088E01FAF1D20F0509920,0FDEDE00,E050E2E0,0FD088E0,1FAF1D20,F0509920,266264064,3763397344,265324768,531569952,4031813920
